id,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released
802637,Tonight I Wan na Cry,Keith Urban,Greatest Hits ( Deluxe Edition ),"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,"‰ ãÑ This compilation 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:19,8-Jan-08,Gon na B Good,Keith Urban,Fuse ( Deluxe Edition ),Country,$ 1.29,( C ) 2013 Hit Red Records under exclusive license to Capitol Records Nashville,2:52,"September 10 , 2013"
758480,Sophmore Slump or Comeback of the Year,Fall Out Boy,From Under the Cork Tree,"Alternative , Music , Punk",$ 1.29,‰ ãÑ 2005 The Island Def Jam Music Group,3:23,3-May-05,Our Lawyer Made Us Change The Name Of This Song So We Would n't Get Sued,Fall Out Boy,From Under The Cork Tree,Rock,$ 1.29,( C ) 2005 The Island Def Jam Music Group,3:08,"May 3 , 2005"
275134,Leave My Heart Out of This ( Buzz Junkies Remix ),Fifth Harmony,Better Together - The Remixes - EP,"Pop , Music , Rock , Teen Pop , Dance",$ 0.69,"2013 Simco Ltd. under exclusive license to Epic Records , a division of Sony Music Entertainment",4:41,25-Nov-13,Do n't Wan na Dance Alone ( Cole Plante Remix ),Fifth Harmony,Better Together ( The Remixes ),Pop,$ 0.69,( C ) 2014 MTA Records Limited under exclusive licence to Mercury Records Limited,3:55,"November 25 , 2013"
952758,Dangerous ( feat . Sam Martin ) [ Kevin Saunderson Inner City Remix ],David Guetta,Dangerous ( feat . Sam Martin ) [ Remixes EP ],"Dance , Music",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",6:27,3-Nov-14,"Hey Mama ( feat . Nicki Minaj , Bebe Rexha & Afrojack ) [ Afrojack Remix ]",David Guetta,"Hey Mama ( feat . Nicki Minaj , Bebe Rexha & Afrojack ) [ Remixes EP ]",Dance & Electronic,$ 1.29,2015 Michelle Kelly,3:17,"May 12 , 2015"
811820,It Girl,Jason Derulo,Future History ( Deluxe Version ),"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance",$ 1.99,2011 Warner Bros. . Records Inc.,3:13,16-Sep-11,Make It Up As We Go,Jason Derulo,Future History,Pop,$ 1.29,( C ) 2013 Hit Red Records under exclusive license to Capitol Records Nashville,3:10,"September 19 , 2011"
662776,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,Time ( feat . Monty ) [ Explicit ],Fetty Wap,Fetty Wap [ Explicit ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",4:38,"September 25 , 2015"
332696,This Is What Makes Us Girls,Lana Del Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13,This Is What Makes Us Girls,Lana Del Rey,Born To Die - The Paradise Edition [ Explicit ],Alternative Rock,$ 1.29,( C ) 2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,3:58,"November 13 , 2012"
303270,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,Hope ( feat . Ty Dolla $ ign ) [ Explicit ],Wiz Khalifa,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,5:24,"August 19 , 2014"
662987,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,No Days Off ( feat . Monty ) [ Explicit ],Fetty Wap,Fetty Wap [ Explicit ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",5:04,"September 25 , 2015"
742212,Playground ( feat . Bugle & Arama ),Major Lazer,Free the Universe ( Extended Version ),"Electronic , Music , Rock , Reggae , Modern Dancehall , Dance",$ 1.29,‰ ãÑ 2013 Secretly Canadian / Mad Decent,3:57,18-Jun-13,Wind Up ( feat . Elephant Man & Opal ),Major Lazer,Free the Universe,Dance & Electronic,$ 1.29,2013 Secretly Canadian / Mad Decent,4:27,"April 16 , 2013"
712289,Coffee 's for Closers,Fall Out Boy,Folie ÌÊ Deux ( Deluxe Version ),"Alternative , Music , Punk",$ 0.99,‰ ãÑ 2008 The Island Def Jam Music Group,4:35,16-Dec-08,She 's My Winona ( Album Version ),Fall Out Boy,Folie ÌÊ Deux,"Alternative Rock , Hardcore & Punk , Pop , Rock",$ 0.99,( C ) 2008 The Island Def Jam Music Group,3:51,"December 16 , 2008"
660297,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,How We Do Things ( feat . Monty ) [ Explicit ],Fetty Wap,Fetty Wap ( Deluxe ) [ Explicit ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",3:31,"September 25 , 2015"
779423,The Cowboy Rides Away ( Live ),George Strait,The Cowboy Rides Away : Live from AT&T Stadium,"Country , Music , Urban Cowboy , Contemporary Country",$ 1.29,"2014 MCA Nashville , a Division of UMG Recordings , Inc.",7:04,16-Sep-14,Seal Ballet / Arrival of the Humpbacks,George Fenton,Frozen Planet ( Soundtrack from the TV series ),Soundtracks,$ 0.99,( C ) 2013 Silva Screen Records,3:38,"March 26 , 2013"
896945,On the Doorstep,Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,7:46,10-Dec-13,The Corps,James Newton Howard,Green Lantern : Original Motion Picture Soundtrack,Soundtracks,$ 1.29,WaterTower Music / Warner Bros. . Pictures,2:19,"June 14 , 2011"
759319,7 Minutes In Heaven ( Atavan Halen ),Fall Out Boy,From Under the Cork Tree,"Alternative , Music , Punk",$ 1.29,‰ ãÑ 2005 The Island Def Jam Music Group,3:02,3-May-05,Nobody Puts Baby In The Corner,Fall Out Boy,From Under The Cork Tree,Rock,$ 1.29,( C ) 2005 The Island Def Jam Music Group,3:20,"May 3 , 2005"
663194,Rewind ( feat . Monty ),Fetty Wap,Fetty Wap,"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:36,,Rock My Chain ( feat . M80 ) [ Explicit ],Fetty Wap,Fetty Wap [ Explicit ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",4:07,"September 25 , 2015"
906470,You My Everything,Ellie Goulding,Halcyon Days ( Deluxe Edition ),"Pop , Music , Dance , Rock",$ 1.29,‰ ãÑ 2013 Polydor Ltd. ( UK ),3:29,27-Aug-13,I Know You Care,Ellie Goulding,Halcyon ( Deluxe ),Pop,$ 1.29,( C ) 2013 Polydor Ltd. ( UK ),3:26,"August 27 , 2013"
446588,Your Mama Should 've Named You Whiskey,Luke Bryan,Crash My Party ( Deluxe ),"Country , Music , Contemporary Country",$ 1.29,2014 Capitol Records Nashville,3:42,12-Aug-14,What Is It With You,Luke Bryan,Crash My Party ( Deluxe Version ),Country,$ 1.29,( C ) 2014 Capitol Records Nashville,4:00,"August 12 , 2014"
659541,Rewind ( feat . Monty ),Fetty Wap,Fetty Wap,"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:36,,Time ( feat . Monty ) [ Clean ],Fetty Wap,Fetty Wap ( Deluxe ) [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",4:38,"September 25 , 2015"
867522,Got It Right This Time ( The Celebration ),Keith Urban,Greatest Hits ( Deluxe Edition ),"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,"‰ ãÑ This compilation 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:44,8-Jan-08,Got It Right This Time ( The Celebration ),Keith Urban,Greatest Hits - 18 Kids,Country,$ 1.29,"å © 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",4:44,"November 20 , 2007"
742134,"Watch Out For This ( Bumaye ) [ feat . Busy Signal , The Flexican & FS Green ]",Major Lazer,Free the Universe ( Extended Version ),"Electronic , Music , Rock , Reggae , Modern Dancehall , Dance",$ 1.29,‰ ãÑ 2013 Secretly Canadian / Mad Decent,4:29,18-Jun-13,"You 're No Good ( feat . Santigold , Vybz Kartel , Danielle Haim & Yasmin )",Major Lazer,Free the Universe,Dance & Electronic,$ 1.29,2013 Secretly Canadian / Mad Decent,4:04,"April 16 , 2013"
661516,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,Jugg ( feat . Monty ) [ Clean ],Fetty Wap,Fetty Wap [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",3:20,"September 25 , 2015"
317296,Judas ( Royksopp 's 30 Pieces Remix ),Lady Gaga,Born This Way ( The Remix ),"Pop , Music , Dance",Album Only,2011 Interscope Records,9:18,21-Nov-11,Born This Way ( Zedd Remix ),Lady Gaga,Born This Way - The Remix,Pop,$ 1.29,( C ) 2011 Interscope Records,6:30,"November 21 , 2011"
445923,Dirt Road Diary,Luke Bryan,Crash My Party,"Country , Music , Contemporary Country",$ 1.29,2013 Capitol Records Nashville,3:28,13-Aug-13,Dirt Road Diary,Luke Bryan,Crash My Party ( Deluxe Version ),Country,$ 1.29,( C ) 2014 Capitol Records Nashville,3:29,"August 12 , 2014"
304559,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ],Wiz Khalifa,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:16,"August 19 , 2014"
329535,Off to the Races,Lana Del Rey,Born to Die ( Deluxe Version ),"Alternative , Music , Pop , Pop/Rock , Rock , Adult Alternative",$ 1.29,‰ ãÑ 2011 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:59,31-Jan-12,Off To The Races,Lana Del Rey,Born To Die - The Paradise Edition [ Explicit ],Alternative Rock,$ 1.29,( C ) 2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:59,"November 13 , 2012"
905700,Zumbie ( feat . Andy Milonakis ),Major Lazer,Guns Do n't Kill People ... Lazers Do ( Bonus Track Version ),"Electronic,Music,Hip-Hop / Rap , Rap , Rock , Alternative , Reggae , Dance , Modern Dancehall",$ 1.29,"‰ ãÑ 2009 Downtown Music , LLC .",4:00,2009,Keep It Goin ' Louder [ feat . Ricky Blaze ],Major Lazer,Guns Do n't Kill People ... Lazers Do ( Deluxe ) [ Explicit ],"Electronica , Dance & Electronic",$ 1.29,"( C ) 2009 Downtown Music , LLC .",3:46,"June 3 , 2015"
300981,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , Hardcore Rap , East Coast Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,Hope ( feat . Ty Dolla $ ign ) [ Explicit ],Wiz Khalifa,Blacc Hollywood ( Deluxe ) [ Explicit ],Rap & Hip-Hop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,5:24,"August 19 , 2014"
301543,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , Hardcore Rap , East Coast Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ],Wiz Khalifa,Blacc Hollywood ( Deluxe ) [ Explicit ],Rap & Hip-Hop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:16,"August 19 , 2014"
221025,These Are the Days,Keith Urban,Be Here,"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,2004 Capitol Records Nashville,2:49,21-Sep-04,Days Go By,Keith Urban,Be Here,"Country , Country Rock , Rock",$ 1.29,2004 Capitol Records Nashville,3:44,"September 21 , 2004"
910539,The Best of Both Worlds : The 2009 Movie Mix,Hannah Montana,Hannah Montana : The Movie ( Original Motion Picture Soundtrack ),"Soundtrack , Music , Country , Contemporary Country , Pop , Teen Pop , Honky Tonk , Rock",$ 1.29,‰ ãÑ 2009 Walt Disney Records,3:07,24-Mar-09,The Best of Both Worlds,Hannah Montana,Hannah Montana,"Children 's Music , Soundtracks , Pop",$ 1.29,( C ) 2006 Walt Disney Records,2:54,"October 24 , 2006"
690105,Extra Extra Credit,Wiz Khalifa,Flight School,"Hip-Hop/Rap , Music",$ 0.99,2009 Rostrum Records,4:03,17-Apr-09,Extra Credit [ Explicit ],Wiz Khalifa,Flight School [ Explicit ],Rap & Hip-Hop,$ 0.99,2013 Mad Decent,3:23,"April 17 , 2009"
424681,The Back Roads and the Back Row,Cole Swindell,Cole Swindell,"Country , Music , Contemporary Country",$ 1.29,2014 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,3:41,18-Feb-14,The Back Roads & The Back Row,Cole Swindell,Cole Swindell,Country,$ 1.29,"( C ) 2011 UMG Recordings , Inc.",3:44,"February 18 , 2014"
302039,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,House In The Hills ( feat . Curren $ y ) [ Clean ],Wiz Khalifa,Blacc Hollywood [ Clean ],Rap & Hip-Hop,$ 0.99,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:52,"August 19 , 2014"
406711,Drink In My Hand ( Live ),Eric Church,Caught In the Act ( Live ),"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29,"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",4:53,5-Apr-13,Smoke A Little Smoke ( Live ),Eric Church,Caught In The Act : Live,Country,$ 1.29,( C ) 2013 EMI Records Nashville,4:58,"April 5 , 2013"
661755,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,My Way ( feat . Monty ) [ Clean ],Fetty Wap,Fetty Wap [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",3:32,"September 25 , 2015"
407588,Staring At the Sun,TV on the Radio,Entourage ( Music from and Inspired By the TV Series ),"Soundtrack , Music , TV Soundtrack",Album Only,2007 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:58,6-Aug-07,Cecilia And The Satellite ( Live ),Andrew McMahon in the Wilderness,Cecilia And The Satellite ( Live ),Alternative Rock,$ 1.29,"( C ) 2015 Vanguard Records , a division of Concord Music Group , Inc.",3:52,"September 25 , 2015"
397797,I Told You So,Carrie Underwood,Carnival Ride,"Country , Music , Rock , Pop , Contemporary Country",$ 1.29,‰ ãÑ 2007 19 Recordings Limited,4:19,22-Oct-07,The More Boys I Meet,Carrie Underwood,Carnival Ride,Country,$ 1.29,( C ) 1992 Psychopathic Records,3:33,"October 23 , 2007"
894404,Barrels Out of Bond,Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,1:50,10-Dec-13,Genesis of Good and Evil,James Newton Howard,Green Lantern : Original Motion Picture Soundtrack,Soundtracks,$ 1.29,WaterTower Music / Warner Bros. . Pictures,2:35,"June 14 , 2011"
953318,"Hey Mama ( feat . Nicki Minaj , Bebe Rexha & Afrojack ) [ Extended ]",David Guetta,"Hey Mama ( feat . Nicki Minaj , Bebe Rexha & Afrojack ) [ Remixes ] - EP","Dance , Music",$ 1.29,"2015 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States",4:42,12-May-15,"Hey Mama ( feat . Nicki Minaj , Bebe Rexha & Afrojack ) [ Noodles Remix ]",David Guetta,"Hey Mama ( feat . Nicki Minaj , Bebe Rexha & Afrojack ) [ Remixes EP ]",Dance & Electronic,$ 1.29,2015 Michelle Kelly,5:02,"May 12 , 2015"
300176,We Dem Boyz,Wiz Khalifa,Blacc Hollywood ( Deluxe Version ),"Hip-Hop/Rap , Music , Rap , Hardcore Rap , East Coast Rap , Rock",$ 1.99,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,19-Aug-14,We Dem Boyz [ Explicit ],Wiz Khalifa,Blacc Hollywood ( Deluxe ) [ Explicit ],Rap & Hip-Hop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:44,"August 19 , 2014"
758482,I Slept With Someone In Fall Out Boy and All I Got Was This Stupid Song Written About Me,Fall Out Boy,From Under the Cork Tree,"Alternative , Music , Punk",$ 1.29,‰ ãÑ 2005 The Island Def Jam Music Group,3:31,3-May-05,Our Lawyer Made Us Change The Name Of This Song So We Would n't Get Sued,Fall Out Boy,From Under The Cork Tree,Rock,$ 1.29,( C ) 2005 The Island Def Jam Music Group,3:08,"May 3 , 2005"
316768,Highway Unicorn ( Road To Love ),Lady Gaga,Born This Way,"Pop , Music , Rock , Dance",$ 1.29,‰ ãÑ 2014 Interscope Records,4:15,5-Aug-14,Born This Way ( The Country Road Version ),Lady Gaga,Born This Way ( Special Edition ) [ + Digital Booklet ],"Dance & Electronic , Pop , House",$ 1.29,( C ) 2011 Interscope Records,4:21,"May 23 , 2011"
245530,I 'm Like a Lawyer With the Way I 'm Always Trying to Get You Off ( Me & You ),Fall Out Boy,Believers Never Die - Greatest Hits ( Bonus Track Version ),"Alternative , Music , Rock , Adult Alternative , Punk",$ 1.29,‰ ãÑ 2009 The Island Def Jam Music Group,3:35,17-Nov-09,I 'm Like A Lawyer With The Way I 'm Always Trying To Get You Off ( Me & You ),Fall Out Boy,Believers Never Die - Greatest Hits,Alternative Rock,$ 1.29,( C ) 2009 The Island Def Jam Music Group,3:35,"November 16 , 2009"
300860,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,"We Dem Boyz Remix ( feat . Rick Ross , ScHoolboy Q & Nas ) [ Explicit ]",Wiz Khalifa,Blacc Hollywood ( Deluxe ) [ Explicit ],Rap & Hip-Hop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,5:19,"August 19 , 2014"
